word,word_sen,word_sen_trans,trans,example
bang,a bang on the head,头上一记猛烈的撞击,"n.刘海；重击；突然巨响
adv.直接地；砰然地；突然巨响地
v.重击；发巨响
","1. a bang on the head
头上一记猛烈的撞击
"
seemingly,There is seemingly nothing we can do to stop the plans going ahead.,看样子我们无法阻止这些计划的实施。,"adv.看来似乎；表面上看来
","1. There is seemingly nothing we can do to stop the plans going ahead.
看样子我们无法阻止这些计划的实施。
"
vital,Rodgers and Hart’s music sounds as fresh and vital as the day it was written.,罗杰斯与哈特的音乐现在听来还有刚写成时的那份清新和活力。,"adj.至关重要的；生死攸关的；有活力的
n.(Vital)人名；(法、德、意、俄、葡)维塔尔；(西)比塔尔
","1. Rodgers and Hart’s music sounds as fresh and vital as the day it was written.
罗杰斯与哈特的音乐现在听来还有刚写成时的那份清新和活力。
"
textbook,a biology textbook,一本生物教科书,"n.教科书，课本
","1. a biology textbook
一本生物教科书
"
cream,fresh cream,鲜奶油,"n.奶油，乳脂；精华；面霜；乳酪
","1. fresh cream
鲜奶油
2. strawberries and cream
浇奶油的草莓
"
orbit,Mars and Earth have orbits which change with time.,火星和地球的轨道随着时间而发生改变。,"n.轨道；眼眶；势力范围；生活常规
v.盘旋；绕轨道运行
","1. Mars and Earth have orbits which change with time.
火星和地球的轨道随着时间而发生改变。
"
tame,Most of the criticism has been pretty tame.,评论的大部分内容很乏味。,"adj.驯服的；平淡的；乏味的；顺从的
v.驯养；使变得平淡；制服
n.(Tame)人名；(捷)塔梅
","1. Most of the criticism has been pretty tame.
评论的大部分内容很乏味。
2. I decided that teaching was too tame for me.
我最终认为教书对我来说太枯燥。
"
accustomed,The pans were in their accustomed places.,那些锅在老地方。,"adj.习惯的；通常的；独有的
v.使习惯于（accustom的过去分词）
","1. The pans were in their accustomed places.
那些锅在老地方。
"
van,a delivery van,运货车,"n.先锋；厢式货车；增值网
vt.用车搬运
","1. a delivery van
运货车
2. a van driver
小型货车司机
"
concise,Your summary should be as clear and concise as possible.,你的总结应该尽可能地明白简洁。,"adj.简明的，简洁的
","1. Your summary should be as clear and concise as possible.
你的总结应该尽可能地明白简洁。
"
emperor,They  bowed before the emperor as he entered the court.,皇帝进入朝廷时他们都向他鞠躬致敬。,"n.皇帝，君主
","1. They  bowed before the emperor as he entered the court.
皇帝进入朝廷时他们都向他鞠躬致敬。
2. The daughter of an emperor does not worry about finding a husband.
皇帝女儿不愁嫁。
3. The old chancellor who had offended against the emperor was relegated to the distant boundaries of the country.
触犯了皇帝的老宰相被流放到遥远的边疆。
"
powder,curry powder,咖喱粉,"n.粉；粉末；[化工][军] 火药；尘土
v.使成粉末；撒粉；搽粉于
","1. curry powder
咖喱粉
2. talcum powder
滑石[爽身]粉
3. Grind the sugar into a powder .
把糖碾成粉末。
4. The paint is supplied in powder form .
这种涂料以粉末状供应。
"
fare,It is unlikely that the marine industry will fare any better in September.,海运业不大可能在9月份有所好转。,"v.经营；进展；遭遇；过活
n.票价；费用；旅客；食物
","1. It is unlikely that the marine industry will fare any better in September.
海运业不大可能在9月份有所好转。
"
blaze,an innovative young company that has blazed a trail for others to follow,一家勇于创新的年轻公司，开辟了一条可供效法的新路径,"v.在树皮上刻路标；公开宣布
n.火焰，烈火；光辉；情感爆发
","1. an innovative young company that has blazed a trail for others to follow
一家勇于创新的年轻公司，开辟了一条可供效法的新路径
"
flock,They kept a small flock of sheep.,他们养了一小群绵羊。,"n.群；棉束（等于floc）
v.用棉束填满
","1. They kept a small flock of sheep.
他们养了一小群绵羊。
"
lad,a young lad,小伙子,"n.少年，小伙子；家伙
","1. a young lad
小伙子
2. Things were different when I was a lad.
我年轻的时候，情况可不大相同。
"
shepherd,,,"v.牧羊；带领；指导；看管
n.牧羊人；牧师；指导者
",
ally,a meeting of the European allies,欧洲盟国会议,"n.同盟国；伙伴；同盟者；助手
v.使联盟；使联合
","1. a meeting of the European allies
欧洲盟国会议
2. He will have no choice but to ally himself with the new movement.
他将别无选择，只能与这个新运动结盟。
"
ache,His feet were aching from standing so long.,他站了那么久，双脚隐隐作痛。,"v.疼痛；渴望
n.疼痛
","1. His feet were aching from standing so long.
他站了那么久，双脚隐隐作痛。
"
tale,a book of old Japanese folk tales,日本古老民间故事书,"n.故事；传说；叙述；流言蜚语
","1. a book of old Japanese folk tales
日本古老民间故事书
2. a fairy tale by Hans Christian Andersen
安徒生的一则童话
3. a cautionary tale
警示故事
"
predominant,Mandy's predominant emotion was confusion.,曼迪的主导情绪是困惑。,"adj.主要的；卓越的；支配的；有力的；有影响的
","1. Mandy's predominant emotion was confusion.
曼迪的主导情绪是困惑。
"
lap,Rubens Barrichello finished a lap ahead of his team-mate.,鲁本斯·巴里切罗领先队友一圈跑完全程。,"n.一圈；膝盖；下摆；山坳
v.使重叠；拍打；包围
","1. Rubens Barrichello finished a lap ahead of his team-mate.
鲁本斯·巴里切罗领先队友一圈跑完全程。
"
offset,Cuts in food prices will be offset by direct payments to farmers.,食品降价将通过直接付款给农民的方式进行补偿。,"n.抵消，补偿；平版印刷；支管
v.抵消；弥补；用平版印刷术印刷
","1. Cuts in food prices will be offset by direct payments to farmers.
食品降价将通过直接付款给农民的方式进行补偿。
"
tall,He was young and tall.,他年轻，身材高大。,"adj.高的；长的；过分的；夸大的
adv.夸大地
n.(Tall)人名；(马里、阿拉伯)塔勒；(芬、罗、瑞典)塔尔；(英)托尔；(土)塔勒
","1. He was young and tall.
他年轻，身材高大。
2. a house surrounded by tall trees
大树环绕的房子
3. This bush grows tall very quickly.
这种灌木很快就能长高。
"
