word,word_sen,word_sen_trans,trans,example
assemble,A large crowd had assembled outside the American embassy.,一大群人聚集在美国大使馆外。,"v.集合，聚集；装配；收集
","1. A large crowd had assembled outside the American embassy.
一大群人聚集在美国大使馆外。
2. He looked around at the assembled company (=  all the people who had come there  ) .
他环顾四周聚集的人群。
3. She had assembled a collection of her favourite songs.
她收集了一些自己最喜欢听的歌。
"
nasty,a nasty temper,坏脾气,"adj.下流的；肮脏的；脾气不好的；险恶的
n.令人不快的事物
","1. a nasty temper
坏脾气
2. the nasty things that were being written about her
人们描述的那些关于她的坏事情
3. There’s a nasty streak in her character.
她性格中有令人讨厌的一面。
4. Drivers often have a nasty habit of driving too close to cyclists.
司机常有一个坏习惯，就是车开得离骑自行车的人太近。
"
wait,Hurry up! Everyone’s waiting.,快点！大家在等着呢。,"v.等候；推迟；延缓
n.等待；等候
","1. Hurry up! Everyone’s waiting.
快点！大家在等着呢。
2. Would you mind waiting outside?
你在外面等好吗？
3. We’ve been waiting ages.
我们已经等了很长时间了。
"
kit,Sally keeps her make-up kit in her bag.,萨莉把化妆包放在手提包里。,"n.工具箱；成套工具
v.装备
","1. Sally keeps her make-up kit in her bag.
萨莉把化妆包放在手提包里。
2. a bike repair kit
一套自行车修理工具
3. a shaving kit
一套剃须用具
4. a drum kit
一套架子鼓
"
wage,"The government, along with the three factions that had been waging a civil war, signed a peace agreement.",政府和发动了内战的3方一起签订了1份和平协议。,"v.进行；发动；从事
n.工资；代价；报偿
","1. The government, along with the three factions that had been waging a civil war, signed a peace agreement.
政府和发动了内战的3方一起签订了1份和平协议。
"
forever,I wanted that moment to last forever .,我希望那一刻成为永远。,"adv.永远；不断地；常常
","1. I wanted that moment to last forever .
我希望那一刻成为永远。
2. Many valuable works of art were lost forever.
许许多多珍贵的艺术品永远消失了。
"
fell,More than 100 trees were felled in just over an hour.,短短一个多小时100多棵树就被砍倒了。,"adj.凶猛的；毁灭性的
v.砍伐；打倒；击倒
n.[林] 一季所伐的木材；折缝；兽皮
","1. More than 100 trees were felled in just over an hour.
短短一个多小时100多棵树就被砍倒了。
"
lesson,piano lessons,钢琴课,"n.教训；课
vt.教训；上课
","1. piano lessons
钢琴课
"
appropriate,The timing of the announcement was particularly appropriate .,通告发布的时机很合适。,"adj.适当的；恰当的；合适的
v.占用，拨出
","1. The timing of the announcement was particularly appropriate .
通告发布的时机很合适。
2. Where appropriate , I delegate as much work as possible.
只要合适，我就尽量把工作分派出去。
3. Mark box 1 or 2, as appropriate .
把方框1和2中的合适者标出来。
4. I can assure you that appropriate action will be taken.
我向你保证会采取适当的行动。
"
relative,The relative merits of both approaches have to be considered.,两种方法的相对优点都得考虑在内。,"adj.相对的；有关系的；成比例的
n.亲戚；相关物；[语] 关系词；亲缘植物
","1. The relative merits of both approaches have to be considered.
两种方法的相对优点都得考虑在内。
2. her opponent’s relative lack of experience
她的对手相对来说缺少经验
3. You may think you’re poor, but it’s all relative (= you are not poor compared to some people ) .
你可能认为自己很穷，但一切都是相对的。
"
