word,word_sen,word_sen_trans,trans,example
decent,a decent salary,不错的工资待遇,"adj.正派的；得体的；相当好的
","1. a decent salary
不错的工资待遇
2. Don’t you have a decent jacket?
你就没有一件像样的外套吗？
3. a house with a decent-sized yard
院子还算大的房子
4. Their in-flight magazine is halfway decent (= quite good ) .
他们的航班杂志还算可以。
"
pillow,I’ll be asleep as soon as my head hits the pillow.,我头一碰到枕头就会睡着。,"n.枕头
v.垫；枕于…；使…靠在
","1. I’ll be asleep as soon as my head hits the pillow.
我头一碰到枕头就会睡着。
"
optimum,optimum conditions for growth,最适宜生长的条件,"adj.最适宜的
n.最佳效果；最适宜条件
","1. optimum conditions for growth
最适宜生长的条件
2. This design makes the optimum use of the available space.
这一设计最大限度地利用了现有的空间。
"
blackmail,She had already tried emotional blackmail (=  tried to make him feel guilty  ) to stop him leaving.,她试过以情相迫，不让他离开。,"n.勒索，敲诈；勒索所得之款
v.勒索，敲诈
","1. She had already tried emotional blackmail (=  tried to make him feel guilty  ) to stop him leaving.
她试过以情相迫，不让他离开。
"
waterfall,"...Angel Falls, the world's highest waterfall.",…安赫尔瀑布，世界上最高的瀑布。,"n.瀑布；瀑布似的东西
","1. ...Angel Falls, the world's highest waterfall.
…安赫尔瀑布，世界上最高的瀑布。
"
honorable,"They should see themselves as aliens,as exiles, and yet they should see themselves as properly subservient,honorable, well behaved exiles in a Roman context.","他们应该把自己当做入境者，寄居者，并应该把自己看做是,适当屈从的和可敬的，行为良好的在罗马的寄居者。","adj.光荣的；可敬的；高贵的
","1. They should see themselves as aliens,as exiles, and yet they should see themselves as properly subservient,honorable, well behaved exiles in a Roman context.
他们应该把自己当做入境者，寄居者，并应该把自己看做是,适当屈从的和可敬的，行为良好的在罗马的寄居者。
"
donate,people who volunteer to donate blood,自愿献血者,"v.捐赠；捐献
n.捐赠；捐献
","1. people who volunteer to donate blood
自愿献血者
"
skirt,She wore a white blouse and a plain black skirt.,她穿着白衬衣和纯黑的裙子。,"n.裙子
v.绕过，回避；位于…边缘
","1. She wore a white blouse and a plain black skirt.
她穿着白衬衣和纯黑的裙子。
"
shortage,There is no heating available due to fuel shortages.,因为燃料短缺，所以没有供暖。,"n.缺乏，缺少；不足
","1. There is no heating available due to fuel shortages.
因为燃料短缺，所以没有供暖。
2. There is no shortage of funds.
不缺资金。
"
racket,The old machine used to make an awful racket .,这台旧机器以前噪音大得吓人。,"n.球拍；吵闹，喧闹
v.过着花天酒地的生活
","1. The old machine used to make an awful racket .
这台旧机器以前噪音大得吓人。
"
clergy,"Thus, his preaching was directed at not only the laity, but the clergy as well.",因此，他的讲道面向的不只是世俗之人，也面向神职人员。,"n.神职人员；牧师；僧侣
","1. Thus, his preaching was directed at not only the laity, but the clergy as well.
因此，他的讲道面向的不只是世俗之人，也面向神职人员。
"
foreigner,Some of the local people are suspicious of foreigners.,有些当地人不信任外国人。,"n.外地人，外国人
","1. Some of the local people are suspicious of foreigners.
有些当地人不信任外国人。
"
embassy,the American Embassy in Paris,美国驻巴黎大使馆,"n.大使馆；大使馆全体人员
","1. the American Embassy in Paris
美国驻巴黎大使馆
"
compliment,All the guests paid her extravagant compliments.,所有客人都对她赞不绝口。,"n.恭维；称赞；问候；致意；道贺
v.恭维；称赞
","1. All the guests paid her extravagant compliments.
所有客人都对她赞不绝口。
2. Being compared to Abba is a great compliment.
能和阿巴乐队相提并论是极大的赞誉。
"
glimpse,Some of the fans had waited 24 hours outside the hotel to catch a glimpse of their heroine.,某些追星族为了一睹女杰的风采已在宾馆外守候了24小时。,"n.一瞥，一看
v.瞥见
","1. Some of the fans had waited 24 hours outside the hotel to catch a glimpse of their heroine.
某些追星族为了一睹女杰的风采已在宾馆外守候了24小时。
"
whatsoever,"But there should be no Christmas for me, I knew, no gifts, no remembrance whatsoever.",但我知道，对我来说，将没有圣诞节可言，没有礼物，没有怀念，什么都没有。,"pron.无论什么
","1. But there should be no Christmas for me, I knew, no gifts, no remembrance whatsoever.
但我知道，对我来说，将没有圣诞节可言，没有礼物，没有怀念，什么都没有。
"
soda,a Scotch and soda,一杯加苏打水的苏格兰威士忌,"n.苏打；碳酸水
","1. a Scotch and soda
一杯加苏打水的苏格兰威士忌
"
sock,a pair of socks,一双短袜,"n.短袜；一击
v.重击；给……穿袜
adv.正着地；不偏不倚地
adj.非常成功的
","1. a pair of socks
一双短袜
2. white ankle socks
白色的齐踝短袜
3. Once, after a boy made a comment, she socked him.
有一次，一个男孩子发表了一点意见，她就挥拳猛击他。
"
sip,She poured more wine and took a sip .,她又倒了些酒，抿了一小口。,"n.抿；小口喝；单列直插式组件
v.啜饮
","1. She poured more wine and took a sip .
她又倒了些酒，抿了一小口。
"
conform,Joseph does not conform to the stereotype of a policeman.,约瑟夫不同于人们一般印象中的警察形象。,"v.符合；遵照；适应环境
adj.一致的；顺从的
","1. Joseph does not conform to the stereotype of a policeman.
约瑟夫不同于人们一般印象中的警察形象。
"
sunset,a glorious sunset,壮丽的日落景象,"n.日落，傍晚
","1. a glorious sunset
壮丽的日落景象
"
scenery,The best part of the trip was the fantastic scenery.,此次旅行最精彩之处就是那美妙绝伦的风景。,"n.风景；景色；舞台布景
","1. The best part of the trip was the fantastic scenery.
此次旅行最精彩之处就是那美妙绝伦的风景。
"
construct,There are plans to construct a new road bridge across the river.,有计划要建造一条新的跨河公路桥。,"v.建造，构造；创立
n.构想，概念
","1. There are plans to construct a new road bridge across the river.
有计划要建造一条新的跨河公路桥。
"
warrant,There is no warrant for copying other people’s work.,剽窃他人作品毫无道理。,"n.根据；证明；正当理由；委任状
v.保证；担保；批准；辩解
","1. There is no warrant for copying other people’s work.
剽窃他人作品毫无道理。
"
stupid,stupid mistakes,愚蠢的错误,"adj.愚蠢的；麻木的；乏味的
n.傻瓜，笨蛋
","1. stupid mistakes
愚蠢的错误
2. That was a stupid thing to say.
那样说可真傻。
3. I can’t believe Kate was stupid enough to get involved in this.
我简直不能相信凯特这么傻，会介入这件事情。
4. It was stupid of me to lose my temper.
我大发脾气，真是太愚蠢了。
"
brisk,a brisk walk,轻快的行走,"adj.敏锐的，活泼的，轻快的；凛冽的
v.活跃起来；变得轻快
n.(Brisk)人名；(法、芬)布里斯克
","1. a brisk walk
轻快的行走
2. They set off at a brisk pace .
他们踏着轻快的步伐上路了。
"
submerge,Alice submerged herself in work to try and forget about Tom.,艾丽斯埋头工作，试图忘记汤姆。,"v.淹没；把…浸入；沉浸
","1. Alice submerged herself in work to try and forget about Tom.
艾丽斯埋头工作，试图忘记汤姆。
"
wrench,Leaving New York had been a terrible wrench.,离开纽约让人十分伤感。,"n.扳手，扳钳；扭伤；痛苦；歪曲；猛扭
v.扭伤；猛扭；曲解；折磨
","1. Leaving New York had been a terrible wrench.
离开纽约让人十分伤感。
"
wagon,,,"n.货车，四轮马车
vt.用运货马车运输货物
",
script,a diary entry written in neat black script,用工整的黑色字写下的一则日记,"n.脚本；手迹；书写用的字母
v.把…改编为剧本
","1. a diary entry written in neat black script
用工整的黑色字写下的一则日记
2. ...James Cameron, who scripted and directed both films.
…为这两部电影写脚本并执导的詹姆斯·卡梅伦。
"
saddle,Why don't we saddle a couple of horses and go for a ride?,为什么我们不给几匹马配上鞍骑着转转？,"n.鞍，鞍状物；车座；拖具
v.承受；使负担；装以马鞍
","1. Why don't we saddle a couple of horses and go for a ride?
为什么我们不给几匹马配上鞍骑着转转？
"
