word,word_sen,word_sen_trans,trans,example
momentum,incentives to maintain the momentum of European integration,保持欧洲一体化发展势头的激励措施,"n.势头；[物] 动量；动力；冲力
","1. incentives to maintain the momentum of European integration
保持欧洲一体化发展势头的激励措施
2. Governments often lose momentum in their second term of office.
政府往往会在第二届任期中丧失冲劲。
"
console,No one could console her when Peter died.,彼得去世时没人能够安慰她。,"n.[计] 控制台；[电] 操纵台
v.安慰；慰藉
","1. No one could console her when Peter died.
彼得去世时没人能够安慰她。
"
apple,apple pie,苹果馅饼,"n.苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。
","1. apple pie
苹果馅饼
2. an apple tree
苹果树
3. roast pork and apple sauce (=  a thick sauce made from cooked apples  )
烤猪肉配苹果酱汁
"
cathedral,St Paul’s Cathedral,圣保罗大教堂,"n.大教堂
","1. St Paul’s Cathedral
圣保罗大教堂
"
gently,"‘You go back to bed now,’ he said gently.",“你回去睡觉吧。”他温柔地说道。,"adv.轻轻地；温柔地，温和地
","1. ‘You go back to bed now,’ he said gently.
“你回去睡觉吧。”他温柔地说道。
2. She kissed me gently on the cheek.
她温柔地亲吻我的脸颊。
3. Gently cook the peppers for 10-15 minutes.
用文火将辣椒煮10到15分钟。
4. Rain pattered gently on the roof above.
雨点轻轻拍打着上面的屋顶。
5. The road curved gently upwards.
路缓缓地蜿蜒而上。
"
drastic,drastic cuts in government spending,政府开支的急剧削减,"adj.激烈的；猛烈的
n.烈性泻药
","1. drastic cuts in government spending
政府开支的急剧削减
2. Drastic changesare needed if environmental catastrophe is to be avoided.
要想避免环境灾难就需要重大的变革。
"
rainbow,...silk and satin in every shade of the rainbow.,…如彩虹般五颜六色的丝绸与锦缎。,"n.彩虹；五彩缤纷的排列；幻想
adj.五彩缤纷的；彩虹状的
vt.使呈彩虹状；如彩虹般装饰
vi.呈彩虹状
","1. ...silk and satin in every shade of the rainbow.
…如彩虹般五颜六色的丝绸与锦缎。
"
noon,We met at 12 noon.,我们中午12点见了面。,"n.中午；正午；全盛期
","1. We met at 12 noon.
我们中午12点见了面。
"
circle,Draw a circle 10cm in diameter.,画一个直径10厘米的圆形。,"n.循环，周期；圆；圈子；圆形物
v.盘旋，旋转；环行
","1. Draw a circle 10cm in diameter.
画一个直径10厘米的圆形。
2. Cut the pastry into circles.
将油酥面团切成圆形。
"
northeast,...a climate like that of our northeast coast.,…同我们东北部沿海气候相似的一种气候。,"adj.东北的；向东北的；来自东北的
n.东北
adv.向东北；来自东北
","1. ...a climate like that of our northeast coast.
…同我们东北部沿海气候相似的一种气候。
2. ""We're going northeast,"" Paula told them, before they started.
“我们将朝东北方向走，”葆拉在他们出发前告诉他们。
"
silicon,,,"n.[化学] 硅；硅元素
",
exceedingly,Thank you. You’ve been exceedingly kind.,谢谢，你真是太好了。,"adv.非常；极其；极度地；极端
","1. Thank you. You’ve been exceedingly kind.
谢谢，你真是太好了。
"
majesty,,,"n.威严；最高权威，王权；雄伟；权威
",
spokesman,a White House spokesman,白宫发言人,"n.发言人；代言人
","1. a White House spokesman
白宫发言人
"
hint,There have been hints that he may take up coaching.,他暗示过可能会出任教练。,"n.暗示；线索
v.暗示；示意
","1. There have been hints that he may take up coaching.
他暗示过可能会出任教练。
2. ‘Look, I can’t tell you.’ ‘Oh, come on, give me a hint .’
“听着，我不能告诉你。”“得了，给我一点暗示吧。”
3. I made it clear I wasn’t interested in him, but he didn’t take the hint .
我清楚地表明我对他不感兴趣，但他不明白我的意思。
"
bottle,an empty bottle,一个空瓶子,"n.瓶子；一瓶的容量
v.控制；把…装入瓶中
","1. an empty bottle
一个空瓶子
"
interface,...the development of better user interfaces.,…更好用户界面的开发。,"n.界面；<计>接口；交界面
v.（使通过界面或接口）接合，连接；[计算机]使联系
","1. ...the development of better user interfaces.
…更好用户界面的开发。
"
cereal,a bowl of breakfast cereal,一碗早餐麦片,"n.谷类，谷物；谷类食品；谷类植物
adj.谷类的；谷类制成的
","1. a bowl of breakfast cereal
一碗早餐麦片
"
entertainment,The town provides a wide choice of entertainment.,该镇提供各式各样的娱乐活动。,"n.娱乐；消遣；款待
","1. The town provides a wide choice of entertainment.
该镇提供各式各样的娱乐活动。
2. There will be live entertainment (= performed then, not recorded ) throughout the day.
现场表演将持续一整天。
3. The dolphins give good entertainment value (= a lot of amusement and interest ).
海豚具有很高的娱乐价值。
"
schedule,We will not cancel your holiday less than eight weeks before the scheduled departure date .,离预定出发日期少于八周，度假行程将不能取消。,"v.安排，计划；编制目录；将……列入计划表
n.时间表；计划表；一览表
","1. We will not cancel your holiday less than eight weeks before the scheduled departure date .
离预定出发日期少于八周，度假行程将不能取消。
"
mainland,flights between a Greek island and the mainland,希腊一海岛和本土之间的航班,"n.大陆；本土
adj.大陆的；本土的
","1. flights between a Greek island and the mainland
希腊一海岛和本土之间的航班
"
rash,"Please Jessie, don’t do anything rash.",求你了，杰西，不要草率行事。,"adj.轻率的；鲁莽的；不顾后果的
n.[皮肤] 皮疹；突然大量出现的事物
","1. Please Jessie, don’t do anything rash.
求你了，杰西，不要草率行事。
2. Don’t go making any rash decisions about your future!
不要对你的未来贸然作决定！
3. It was rather rash of you to lend them your car.
你把汽车借给他们实在有欠考虑。
"
identification,Do you have any identification?,你有什么身份证明文件吗？,"n.鉴定，识别；认同；身份证明
","1. Do you have any identification?
你有什么身份证明文件吗？
2. fingerprinting as a means of identification
作为一种身份证明方式的指纹提取
"
tender,Continue cooking until the meat is tender.,把肉一直烧到松软为止。,"adj.温柔的；柔软的；脆弱的；幼稚的；难对付的
n.偿付，清偿；看管人；小船
v.提供，偿还；使…变嫩；使…变柔软
","1. Continue cooking until the meat is tender.
把肉一直烧到松软为止。
"
clothe,They could barely keep the family fed and clothed.,他们几乎无力为家人提供衣食。,"v.给…穿衣；覆盖；赋予
","1. They could barely keep the family fed and clothed.
他们几乎无力为家人提供衣食。
"
velvet,green velvet drapes,绿色丝绒帷帘,"n.天鹅绒，丝绒；天鹅绒似的东西
adj.天鹅绒的
","1. green velvet drapes
绿色丝绒帷帘
"
overtime,six hours’ overtime,六小时的加班,"n.[劳经] 加班时间；延长时间；加时赛
adj.超时的；加班的
vt.使超过时间
adv.加班地
","1. six hours’ overtime
六小时的加班
2. They’re working overtime to get the job finished.
他们正在加班赶工。
3. He’s been doing a lot of overtime recently.
他近来加班很多。
4. Many employees work countless hours of unpaid overtime.
许多员工无偿加班无数个小时。
5. Many of our offices will be working on overtime until the end of the year.
我们的许多办事处都要加班到年底。
"
