word,word_sen,word_sen_trans,trans,example
gear,He’s crazy about photography – he’s got all the gear.,他对摄影很着迷——所有的器材他都有。,"n.齿轮；装置，工具；传动装置
v.适合；搭上齿轮；开始工作
adj.好极了
","1. He’s crazy about photography – he’s got all the gear.
他对摄影很着迷——所有的器材他都有。
"
layoff,"It will close more than 200 stores nationwide resulting in the layoffs of an estimated 2,000 employees.",在全国范围内将关闭二百多家商店，造成约两千人失业。,"n.活动停止期间；临时解雇；操作停止；失业期
","1. It will close more than 200 stores nationwide resulting in the layoffs of an estimated 2,000 employees.
在全国范围内将关闭二百多家商店，造成约两千人失业。
"
shirt,I have to wear a shirt and tie to work.,我上班要穿衬衫打领带。,"n.衬衫；汗衫，内衣
","1. I have to wear a shirt and tie to work.
我上班要穿衬衫打领带。
2. a check shirt
格子衬衫
"
lace,a handkerchief trimmed with lace,饰有蕾丝花边的手绢,"n.花边；鞋带；饰带；少量烈酒
v.饰以花边；结带子
","1. a handkerchief trimmed with lace
饰有蕾丝花边的手绢
2. lace curtains
网眼窗帘
"
breathe,"The room filled with smoke, and it was becoming difficult to breathe.",房间里全是烟，呼吸越来越困难。,"v.呼吸；低语；松口气；（风）轻拂
","1. The room filled with smoke, and it was becoming difficult to breathe.
房间里全是烟，呼吸越来越困难。
2. People are concerned about the quality of the air they breathe.
人们关心他们所呼吸的空气的质量。
3. Relax and breathe deeply (=  take in a lot of air  ) .
放松，深呼吸。
"
symbol,The symbol on the packet is a guarantee that the food has been produced organically.,包装盒上的这个标识保证这种食物是有机生产的。,"n.象征；符号；标志
","1. The symbol on the packet is a guarantee that the food has been produced organically.
包装盒上的这个标识保证这种食物是有机生产的。
"
eyebrow,thick bushy eyebrows,浓密的眉毛,"n.眉毛
v.为…描眉；用皱眉蹙额迫使
","1. thick bushy eyebrows
浓密的眉毛
"
obedience,obedience classes for dogs and their owners,为狗和主人安排的服从训练课,"n.顺从；服从；遵守
","1. obedience classes for dogs and their owners
为狗和主人安排的服从训练课
"
await,Several men are awaiting trial for robbery.,几个人因抢劫正在候审。,"v.等候，等待；期待
","1. Several men are awaiting trial for robbery.
几个人因抢劫正在候审。
"
kilo,This kind of chocolate is retailed at one pound a kilo.,这种巧克力糖零售每公斤一英镑。,"n.千克
","1. This kind of chocolate is retailed at one pound a kilo.
这种巧克力糖零售每公斤一英镑。
"
pest,a chemical used in pest control,用于防治虫害的一种化学品,"n.害虫；有害之物；讨厌的人
","1. a chemical used in pest control
用于防治虫害的一种化学品
"
