word,word_sen,word_sen_trans,trans,example
shelf,shelves of books,一层层书架的书,"n.架子；搁板；搁板状物；暗礁
","1. shelves of books
一层层书架的书
2. supermarket shelves
超级市场的货架
3. the amount of shelf space available
可用的货架空间
"
fork,Put the knives and forks on the table.,把刀叉摆放在桌子上。,"n.叉；餐叉；耙
v.叉起；使成叉状
","1. Put the knives and forks on the table.
把刀叉摆放在桌子上。
"
hawk,,,"v.兜售，沿街叫卖；捕捉；咳出
n.鹰；鹰派成员；掠夺他人的人
",
harden,It will take about 24 hours for the glue to harden.,胶水干透大约需要24小时。,"v.变硬，变坚固；变坚强；变冷酷
n.(Harden)人名；(英、德、罗、瑞典)哈登；(法)阿尔当
","1. It will take about 24 hours for the glue to harden.
胶水干透大约需要24小时。
"
mock,I’m revising for my mocks.,我在复习准备模拟考试。,"n.英国模拟考试（mocks）
v.愚弄，嘲弄
adj.仿制的，模拟的，虚假的，不诚实的
","1. I’m revising for my mocks.
我在复习准备模拟考试。
"
ballot,The party leader is elected by secret ballot .,政党领袖是通过无记名投票选举产生的。,"n.投票；投票用纸；投票总数
v.投票；抽签决定
","1. The party leader is elected by secret ballot .
政党领袖是通过无记名投票选举产生的。
2. Workers at the plant held a ballot and rejected strike action.
工厂工人举行投票，否决了罢工行动。
"
strive,He strives hard to keep himself very fit.,他努力使自己保持非常的健康。,"v.努力；奋斗；抗争
","1. He strives hard to keep himself very fit.
他努力使自己保持非常的健康。
"
hate,Why do you hate me so much?,你为什么那么恨我？,"v.憎恨；厌恶；遗憾
n.憎恨；反感
","1. Why do you hate me so much?
你为什么那么恨我？
"
combat,We flew over 200 combat missions in the war.,我们在战争中执行过两百多次战斗飞行任务。,"v.反对；与…战斗
n.战斗；争论
adj.战斗的；为…斗争的
","1. We flew over 200 combat missions in the war.
我们在战争中执行过两百多次战斗飞行任务。
2. training in unarmed combat
徒手格斗训练
"
moan,"‘I feel seasick already,’ she moaned.",“我已经开始晕船了。”她抱怨道。,"v.抱怨，悲叹；呻吟
n.呻吟声；悲叹
","1. ‘I feel seasick already,’ she moaned.
“我已经开始晕船了。”她抱怨道。
2. He moaned and groaned all the way there.
他去的一路上抱怨个没完。
"
identical,four identical houses,四幢一模一样的房子,"adj.同一的；完全相同的
n.完全相同的事物
","1. four identical houses
四幢一模一样的房子
"
calculate,These instruments calculate distances precisely.,这些仪器计算距离非常精确。,"v.计算；以为；作打算
","1. These instruments calculate distances precisely.
这些仪器计算距离非常精确。
"
roll,His sleeves were rolled above his elbows.,他的袖子卷到了胳膊肘的上面。,"v.卷；滚动，转动；辗
n.卷，卷形物；名单；摇晃
","1. His sleeves were rolled above his elbows.
他的袖子卷到了胳膊肘的上面。
"
partial,The exhibition was only a partial success.,那次展会只获得部分成功。,"adj.局部的；偏爱的；不公平的
","1. The exhibition was only a partial success.
那次展会只获得部分成功。
2. a partial solution to traffic congestion in Oxford
部分解决牛津地区交通拥堵问题的方法
"
paradox,It’s a paradox that in such a rich country there can be so much poverty.,在如此富有的国家却有这么多的贫穷现象，真是矛盾。,"n.悖论，反论；似非而是的论点；自相矛盾的人或事
","1. It’s a paradox that in such a rich country there can be so much poverty.
在如此富有的国家却有这么多的贫穷现象，真是矛盾。
"
inquiry,"On further inquiry, it emerged that Malcolm had not been involved in the incident.",进一步的调查表明，马尔科姆没有参与该事件。,"n.探究；调查；质询
","1. On further inquiry, it emerged that Malcolm had not been involved in the incident.
进一步的调查表明，马尔科姆没有参与该事件。
2. The local council set up a committee of inquiry to look into policing arrangements.
当地市政会成立了一个调查委员会来对治安维护措施进行调查。
"
ballet,We’re going to the ballet tomorrow evening.,我们明天晚上要去看芭蕾舞演出。,"n.芭蕾舞剧；芭蕾舞乐曲
","1. We’re going to the ballet tomorrow evening.
我们明天晚上要去看芭蕾舞演出。
"
precedent,a legal precedent,判例,"n.先例；前例
adj.在前的；在先的
","1. a legal precedent
判例
"
distant,the sound of distant gunfire,远处的炮火声,"adj.遥远的；冷漠的；远隔的；不友好的，冷淡的
","1. the sound of distant gunfire
远处的炮火声
2. Her honeymoon seemed a distant memory .
她的蜜月似乎成了遥远的记忆。
3. That affair was in the dim and distant past (= a long time ago ) .
那件事已成为遥远的过去了。
4. The President hopes to visit Ireland in the not too distant future (= quite soon ) .
总统希望在不久的将来访问爱尔兰。
"
cottage,a country cottage,乡间小屋,"n.小屋；村舍；（农舍式的）小别墅
","1. a country cottage
乡间小屋
2. We’re staying in a holiday cottage in Dorset.
我们住在多塞特的一个度假小别墅里。
"
classic,The Coca-Cola bottle is one of the classic designs of the last century.,可口可乐瓶是上个世纪的经典设计之一。,"adj.经典的；古典的，传统的；最优秀的
n.名著；经典著作；大艺术家
","1. The Coca-Cola bottle is one of the classic designs of the last century.
可口可乐瓶是上个世纪的经典设计之一。
"
prominent,a prominent Russian scientist,杰出的俄罗斯科学家,"adj.突出的，显著的；杰出的；卓越的
","1. a prominent Russian scientist
杰出的俄罗斯科学家
2. The World Cup will have a prominent place on the agenda.
世界杯赛将占据议程表的重要位置。
"
slogan,an advertising slogan,一句广告口号,"n.标语；呐喊声
","1. an advertising slogan
一句广告口号
2. demonstrators shouting political slogans
高喊政治口号的示威者
3. the Democrats’ campaign slogan
民主党的竞选口号
"
norm,Joyce’s style of writing was a striking departure from the literary norm.,乔伊斯的写作风格与传统的文学风格大相径庭。,"n.标准，规范
","1. Joyce’s style of writing was a striking departure from the literary norm.
乔伊斯的写作风格与传统的文学风格大相径庭。
"
administer,The money will be administered by local charities.,这笔资金将由当地慈善机构管理。,"v.管理；执行；给予
","1. The money will be administered by local charities.
这笔资金将由当地慈善机构管理。
2. Our office administers the affairs of the Society.
我们办公室管理协会的事务。
"
anonymous,the anonymous author of a collection of poems,一本诗集的佚名作者,"adj.匿名的，无名的；无个性特征的
","1. the anonymous author of a collection of poems
一本诗集的佚名作者
2. According to one employee, who wishes to remain anonymous , the company engaged in illegal activities.
根据一位不愿透露姓名的员工所述，这家公司曾从事非法活动。
"
september,"Her son, Jerome, was born in September.",她的儿子杰罗姆出生于9月。,"n.九月
","1. Her son, Jerome, was born in September.
她的儿子杰罗姆出生于9月。
2. We didn't make the original September 30 release date.
我们没有赶上原定9月30日的发行日。
"
classmate,He acquainted his classmate with my sister.,他把我妹妹介绍给他的同班同学。,"n.同班同学
","1. He acquainted his classmate with my sister.
他把我妹妹介绍给他的同班同学。
2. He acquainted his classmate with my younger brother.
他把我的弟弟介绍给他的同班同学。
3. I, who am your classmate, can understand you.
我是你的同班同学,能了解你。
"
distribute,a man distributing leaflets to passers-by,一个向路人派发传单的男子,"v.分配；散布；分开；把…分类
","1. a man distributing leaflets to passers-by
一个向路人派发传单的男子
"
remedy,"To remedy the situation, the water must be chemically treated.",为了改善这种情况，水必须进行化学处理。,"v.补救；治疗；纠正
n.补救；治疗；赔偿
","1. To remedy the situation, the water must be chemically treated.
为了改善这种情况，水必须进行化学处理。
"
faint,She gave a faint smile.,她淡淡一笑。,"adj.模糊的；头晕的；虚弱的；[医] 衰弱的
v.昏倒；变得微弱；变得没气力
n.[中医] 昏厥，昏倒
","1. She gave a faint smile.
她淡淡一笑。
2. a very faint noise
很微弱的声响
3. the faint light of dawn
微弱的晨光
"
bureaucracy,the reduction of unnecessary bureaucracy,消除不必要的官僚体制,"n.官僚主义；官僚机构；官僚政治
","1. the reduction of unnecessary bureaucracy
消除不必要的官僚体制
"
citizen,We need our schools to teach students to be good citizens.,我们需要学校把学生培养为好公民。,"n.公民；市民；老百姓
","1. We need our schools to teach students to be good citizens.
我们需要学校把学生培养为好公民。
2. The mayor urged citizens to begin preparing for a major storm.
一场特大暴风雨即将到来，市长敦促市民做好准备。
"
solidarity,a gesture of solidarity,团结的表示,"n.团结，团结一致
","1. a gesture of solidarity
团结的表示
2. an appeal for worker solidarity
呼吁工人们团结
"
mount,"Tension here is mounting , as we await the final result.",我们等待着最终结果，这里的气氛也越来越紧张。,"v.增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
n.山峰；底座；乘骑用马；攀，登；运载工具；底座
","1. Tension here is mounting , as we await the final result.
我们等待着最终结果，这里的气氛也越来越紧张。
2. Casualties on both sides of the battle have continued to mount.
交战双方的伤亡人数继续增加。
"
mobilize,an attempt to mobilize popular opinion,鼓动公众舆论的尝试,"v.动员，调动；集合，组织；使…流通；使…松动
","1. an attempt to mobilize popular opinion
鼓动公众舆论的尝试
2. a campaign to mobilize support for the strike
动员大家支持罢工的宣传活动
"
advent,the advent of the computer,计算机的问世,"n.到来；出现；基督降临；基督降临节
","1. the advent of the computer
计算机的问世
"
revolution,the French Revolution of 1789,1789年法国大革命,"n.革命；旋转；运行；循环
","1. the French Revolution of 1789
1789年法国大革命
"
certificate,a degree certificate,学位证书,"v.发给证明书；以证书形式授权给…；用证书批准
n.证书；执照，文凭
","1. a degree certificate
学位证书
"
alleviate,measures to alleviate poverty,扶贫措施,"v.减轻，缓和
","1. measures to alleviate poverty
扶贫措施
"
nod,The woman greeted us with a nod of the head.,那个女人向我们点点头打招呼。,"n.点头；打盹；摆动
v.点头；点头表示
","1. The woman greeted us with a nod of the head.
那个女人向我们点点头打招呼。
2. I showed the doorman my card and he gave a friendly nod.
我向门卫出示了卡片，他友善地点了点头。
"
shield,He used his left hand as a shield against the reflecting sunlight.,他用左手遮挡反射过来的阳光。,"n.盾；防护物；保护者
v.遮蔽；包庇；避开；保卫
","1. He used his left hand as a shield against the reflecting sunlight.
他用左手遮挡反射过来的阳光。
"
tuesday,"He phoned on Tuesday, just before you came.",他星期二打了电话，刚好在你来之前。,"n.星期二
","1. He phoned on Tuesday, just before you came.
他星期二打了电话，刚好在你来之前。
2. Talks are likely to start next Tuesday.
会谈可能在下星期二开始。
"
obstacle,The tax puts obstacles in the way of companies trying to develop trade overseas.,这项税收为想在海外发展贸易的公司设置了障碍。,"n.障碍，干扰；妨害物
","1. The tax puts obstacles in the way of companies trying to develop trade overseas.
这项税收为想在海外发展贸易的公司设置了障碍。
2. Women still have to overcome many obstacles to gain equality.
妇女要获得平等仍需克服重重障碍。
3. We want to remove all obstacles to travel between the two countries.
我们想要消除在这两个国家之间旅行的所有障碍。
4. the single biggest obstacle to a Conservative victory in the next election
保守党在下一届大选中获胜的最大障碍
5. There are formidable obstacles on the road to peace.
通往和平的道路上存在难以逾越的障碍。
"
counterpart,"As soon as he heard what was afoot, he telephoned his German and Italian counterparts to protest.",他一听到在进行中的事，马上就给德国和意大利相应人员打电话抗议。,"n.副本；配对物；极相似的人或物
","1. As soon as he heard what was afoot, he telephoned his German and Italian counterparts to protest.
他一听到在进行中的事，马上就给德国和意大利相应人员打电话抗议。
"
opponent,Graf’s opponent in today’s final will be Sukova.,格拉芙今天的决赛对手将是苏科娃。,"n.对手；反对者；敌手
adj.对立的；敌对的
","1. Graf’s opponent in today’s final will be Sukova.
格拉芙今天的决赛对手将是苏科娃。
2. He is admired even by his political opponents.
他甚至受到政敌的钦佩。
"
southeast,the southeast quarter of the city,该市的东南部,"adj.东南的；来自东南的
n.东南；东南地区
adv.来自东南
","1. the southeast quarter of the city
该市的东南部
2. I know we have to go southeast, more or less.
我知道我们大概得往东南方向走。
"
mountain,the highest mountain in Austria,奥地利最高的山,"n.山；山脉
","1. the highest mountain in Austria
奥地利最高的山
2. the Rocky Mountains
落基山脉
3. a steep mountain road
陡峭的山路
4. magnificent mountain ranges
雄伟的山脉
5. snow-capped mountain peaks
白雪覆盖的山峰
6. a mountain rescue team
山地营救队
7. She was the first British woman to climb the mountain .
她是攀登这座山峰的第一位英国女子。
"
agreeable,We spent a most agreeable couple of hours.,我们非常愉快地度过了几个小时。,"adj.令人愉快的；适合的；和蔼可亲的
","1. We spent a most agreeable couple of hours.
我们非常愉快地度过了几个小时。
2. an agreeable young man
一个讨人喜欢的年轻人
"
