word,trans,example
revolt,"n.反抗；造反，起义
v.起义；反抗
","1. The prime minister is now facing a revolt by members of his own party.
首相现在面临着党内倒戈。
2. the Polish revolt of 1863
1863年的波兰起义
3. It was feared that the army would revolt against the government.
有人担心军队会挥戈反对政府。
4. Some members of the government may revolt against this proposed legislation.
一些政府成员可能会反对这项拟议中的法规。
"
specialist,"n.专家
","1. an attorney who is a specialist in banking law
一名专攻银行法的律师
"
carpet,"n.地毯
","1. My bedroom carpet is green.
我卧室里的地毯是绿色的。
2. All the rooms had fitted carpets (= carpets cut to fit the shape of the rooms ) .
所有的房间都铺了全室地毯。
"
meditation,"n.默想，冥想；沉思，深思，思考
","1. Yoga involves breathing exercises, stretching, and meditation.
瑜伽包括呼吸训练、伸展和冥想。
2. She found him sitting alone, deep in meditation.
她发现他独自坐着，陷入沉思。
"
persist,"v.坚持；执意；继续存在[发生]；持续
","1. ‘I don’t think it’s right,’ John persisted.
“我认为那不对。”约翰坚持说道。
2. If the pain persists, you must see a doctor.
如果一直痛，你就必须去看医生了。
"
avoid,"v.防止，避免；逃避，避开
","1. Road safety is taught to young children to avoid road accidents.
小孩子受到道路安全知识的教育，以避免交通事故。
2. It is important to take measures to avoid the risk of fire.
采取措施避免火灾风险很重要。
3. Alan narrowly avoided an accident.
艾伦险出事故。
4. Everyone seemed to be avoiding Nick.
似乎所有人都在躲着尼克。
"
yellow,"adj.黄的，黄色的
n.黄色
","1. yellow flowers
黄花
2. Yellow doesn’t suit me at all.
黄色一点都不适合我。
"
consult,"v.请教，向...咨询；找...商量；查阅，查看
","1. If symptoms persist, consult a doctor without delay.
如果症状持续的话，马上咨询医生。
2. I can’t believe you sold the car without consulting me!
我真不敢相信你不和我商量一下就把车给卖了！
3. Have you consulted a dictionary?
你查过词典了吗？
"
assume,"v.假定，设想；开始掌管/承担责任等；假装[装出]…的态度/样子/表情等
","1. I think we can safely assume (=  it is almost certain  ) that interest rates will go up again soon.
我想我们几乎可以肯定，利率很快会再次上调。
2. When it got to midnight and Paul was still not back, I began to assume the worst (=  think that the worst possible thing had happened  ) .
到午夜时保罗还没回来，我就开始往最坏的地方想了。
3. Jim Paton will assume the role of managing director.
吉姆·帕顿将出任常务董事一职。
4. Andy assumed an air of indifference whenever her name was mentioned.
每次提到她的名字，安迪都装出无所谓的样子。
"
doctorate,"n.博士学位;博士头衔
","1. Professor Lanphier obtained his doctorate in social psychology from the University of Michigan.
兰菲尔教授从密歇根大学获得了社会心理学博士学位。
"
resultant,"adj.作为结果而发生的
","1. She is still trying to get over the attack and the resultant injuries.
她仍在努力从袭击以及由此造成的伤害中恢复过来。
"
fuse,"n.保险丝；导火线,引信
v.结合; 融合; 熔合
","1. two 13 amp fuses
两根13安培的保险丝
2. I taught him how to change a fuse .
我教他怎么换保险丝。
3. A bomb was deactivated at the last moment, after the fuse had been lit.
一枚炸弹在导火线已被点燃后的最后一刻被解除。
4. The skull bones fuse between the ages of fifteen and twenty-five.
颅骨在15和25岁之间长合。
"
very,"adv.很，非常；完全
adj.同一的，正是的，恰好的
","1. It feels very cold today.
今天很冷。
2. The fishing industry is very important to the area.
捕鱼业对于该地区非常重要。
3. The traffic’s moving very slowly this morning.
今天早上车流非常缓慢。
4. problems that are very similar to mine
和我非常相似的问题
5. I feel a lot better – thank you very much.
我感觉好多了，非常感谢。
6. I’m very, very (= used for emphasis ) pleased you can come.
你能来我真是非常高兴。
7. It’s very kind of you to help.
您来帮忙真是太好了。
8. My sister and I were married on the very same (= exactly the same ) day.
我和姐姐在同一天结婚。
9. He died in this very room.
他就是在这个房间里去世的。
10. I’ll start at the very beginning.
我要从头开始。
"
critic,"n.批评家,评论家
","1. Mather was a film critic for many years.
马瑟做过多年的电影评论家。
"
ingenious,"adj.〔计划、主意或物体〕精巧的，巧妙的
","1. Many fish have ingenious ways of protecting their eggs from predators.
很多鱼都有绝妙的方法来保护它们产的卵不被捕食者吃掉。
2. an ingenious device
精巧的装置
"
continent,"n.大陆,洲
","1. the continents of Asia and Africa
亚洲及非洲大陆
"
residence,"n.住处,住宅
","1. the ambassador’s official residence
大使官邸
"
